wav,fnu
16.2872,1.619710
16.2997,1.599830
16.3123,1.675950
16.3248,1.699060
16.3374,1.828670
16.3500,1.532470
16.3626,1.540970
16.3751,1.538960
16.3877,1.589720
16.4004,1.667310
16.4130,1.680750
16.4256,1.584960
16.4382,1.488910
16.4509,1.532670
16.4636,1.495640
16.4762,1.557420
16.4889,1.512110
16.5016,1.530540
16.5143,1.520400
16.5270,1.527300
16.5397,1.501650
16.5524,1.457820
16.5652,1.501570
16.5779,1.498170
16.5907,1.498290
16.6035,1.481590
16.6162,1.469690
16.6290,1.537370
16.6418,1.534950
16.6546,1.520170
16.6674,1.483590
16.6803,1.456100
16.6931,1.503410
16.7059,1.472480
16.7188,1.497070
16.7317,1.479270
16.7445,1.506690
16.7574,1.499040
16.7703,1.455260
16.7832,1.457150
16.7961,1.484410
16.8091,1.446210
16.8220,1.507990
16.8349,1.469660
16.8479,1.479970
16.8609,1.504420
16.8738,1.551440
16.8868,1.498680
16.8998,1.455480
16.9128,1.414750
16.9258,1.473940
16.9389,1.578710
16.9519,1.454890
16.9649,1.469500
16.9780,1.475660
16.9911,1.432150
17.0041,1.461580
17.0172,1.473320
17.0303,1.427020
17.0434,1.433960
17.0565,1.407090
17.0697,1.444560
17.0828,1.453920
17.0959,1.443390
17.1091,1.464340
17.1223,1.503860
17.1354,1.473460
17.1486,1.409520
17.1618,1.401160
17.1750,1.414830
17.1882,1.395690
17.2015,1.484070
17.2147,1.532700
17.2280,1.489890
17.2412,1.488170
17.2545,1.484490
17.2678,1.500420
17.2810,1.505780
17.2943,1.507340
17.3076,1.475440
17.3210,1.452530
17.3343,1.485130
17.3476,1.486390
17.3610,1.489710
17.3743,1.486570
17.3877,1.515140
17.4011,1.499140
17.4145,1.514320
17.4279,1.477060
17.4413,1.518690
17.4547,1.497260
17.4682,1.457340
17.4816,1.503590
17.4951,1.471830
17.5085,1.440950
17.5220,1.477810
17.5355,1.520550
17.5490,1.457630
17.5625,1.513320
17.5760,1.619720
17.5895,1.414820
17.6030,1.450010
17.6166,1.577100
17.6301,1.585850
17.6437,1.543580
17.6573,1.587470
17.6709,1.708630
17.6845,1.620320
17.6981,1.548960
17.7117,1.553570
17.7253,1.690810
17.7390,1.650660
17.7526,1.536710
17.7663,1.572000
17.7800,1.590850
17.7936,1.513460
17.8073,1.633460
17.8210,1.547100
17.8347,1.573470
17.8485,1.553720
17.8622,1.511330
17.8759,1.517270
17.8897,1.540590
17.9035,1.582850
17.9172,1.638680
17.9310,1.623390
17.9448,1.588690
