JD,Magnitude,Observer Code
2453013.3625,11.5,MUY
2453016.3792,11.6,MUY
2453017.3271,11.6,MUY
2453018.2944,11.5,MUY
2453021.4208,11.5,MUY
2453025.2486,11.4,MUY
2453029.2625,11.5,MUY
2453030.3104,11.6,MUY
2453034.2979,11.5,MUY
2453043.3222,11.5,MUY
2453044.3097,11.4,MUY
2453045.2688,11.4,MUY
2453055.2993,11.5,MUY
2453061.3222,11.5,MUY
2453213.4972,11.6,MUY
2453228.6,11.5,BIC
2453256.409,11.6,MUY
2453257.4035,11.6,MUY
2453258.3938,11.6,MUY
2453258.4,11.7,BIC
2453260.4514,11.5,MUY
2453262.3896,11.7,MUY
2453263.3639,11.7,MUY
2453264.3549,11.5,MUY
2453268.3826,11.5,MUY
2453268.4,11.5,BIC
2453272.3889,11.5,MUY
2453282.4583,11.5,MUY
2453284.4215,11.5,MUY
2453285.375,11.5,MUY
2453285.5,11.5,BIC
2453286.325,11.5,MUY
2453287.4653,11.5,MUY
2453288.4306,11.5,MUY
2453291.3528,11.8,MUY
2453293.3618,11.6,MUY
2453295.4306,11.5,MUY
2453297.3299,11.6,MUY
2453298.3951,11.5,MUY
2453313.3715,11.6,MUY
2453314.35,11.5,MUY
2453316.4,11.3,BIC
2453318.4826,11.5,MUY
2453321.3208,11.5,MUY
2453322.3882,11.5,MUY
2453324.3035,12.2,MUY
2453329.3465,11.5,MUY
2453330.3507,11.5,MUY
2453341.4479,11.4,MUY
2453342.341,11.5,MUY
2453343.2847,11.5,MUY
2453356.3236,11.4,MUY
2453359.3111,11.4,MUY
2453368.2611,11.5,MUY
2453370.2438,11.5,MUY
2453372.4292,11.4,MUY
2453373.2625,11.4,MUY
2453377.3056,11.4,MUY
2453379.2285,11.5,MUY
2453383.259,11.6,MUY
2453384.3,11.4,BIC
2453384.3021,11.6,MUY
2453386.2674,11.6,MUY
2453400.3,11.4,BIC
2453430.3,11.3,BIC
2453586.6,11.5,BIC
2453600.5,11.7,BIC
2453610.4201,11.5,MUY
2453610.5,11.5,BIC
2453611.4229,11.5,MUY
2453612.4188,11.5,MUY
2453614.4313,11.5,MUY
2453615.4278,11.5,MUY
2453618.4153,11.5,MUY
2453621.4111,11.5,MUY
2453621.6,11.5,BIC
2453626.3861,11.6,MUY
2453627.3889,11.5,MUY
2453638.3597,11.5,MUY
2453639.3667,11.6,MUY
2453641.3632,11.5,MUY
2453643.3319,11.5,MUY
2453645.3833,11.4,MUY
2453647.3507,11.8,MUY
2453654.3493,11.5,MUY
2453655.3576,11.6,MUY
2453663.3118,11.8,MUY
2453666.5,11.7,BIC
2453669.3535,11.6,MUY
2453671.3181,11.5,MUY
2453673.3042,11.5,MUY
2453676.2944,11.5,MUY
2453682.3813,11.5,MUY
2453683.3639,11.5,MUY
2453684.3201,11.5,MUY
2453693.2903,11.4,MUY
2453694.3278,11.4,MUY
2453695.2986,11.6,MUY
2453697.3326,11.4,MUY
2453701.2521,11.5,MUY
2453706.3771,11.5,MUY
2453707.3424,11.6,MUY
2453722.4,11.5,BIC
2453724.2583,11.6,MUY
2453730.2681,11.5,MUY
2453731.3583,12.0,MUY
2453733.2493,11.5,MUY
2453736.2924,11.5,MUY
2453756.2549,11.5,MUY
2453759.3,11.6,BIC
2453763.2889,11.5,MUY
2453764.2535,11.4,MUY
2453765.2674,11.5,MUY
2453767.2722,11.5,MUY
2453999.3896,11.5,MUY
2454000.3729,11.5,MUY
2454021.3639,11.5,MUY
2454022.3576,11.5,MUY
2454025.3646,11.5,MUY
2454030.3708,11.5,MUY
2454033.3396,11.5,MUY
2454033.5049,10.9,POX
2454035.3938,10.7,POX
2454035.4125,11.5,MUY
2454049.3375,11.4,MUY
2454053.3069,11.5,MUY
2454055.3306,11.5,MUY
2454057.3257,11.6,MUY
2454058.4021,11.5,MUY
2454059.3021,11.5,MUY
2454061.3326,11.6,MUY
2454066.3819,13.4,MUY
2454067.4444,13.5,MUY
2454069.234,12.5,MUY
2454079.2972,11.4,MUY
2454086.3028,11.4,MUY
2454087.3639,11.5,MUY
2454089.2972,11.5,MUY
2454092.4,11.5,BIC
2454111.3375,11.6,MUY
2454115.3514,11.5,MUY
2454122.3472,11.5,MUY
2454124.3667,11.6,MUY
2454134.2826,11.6,MUY
2454143.2778,11.6,MUY
2454302.4799,11.7,MUY
2454325.4486,11.5,MUY
2454330.4444,11.5,MUY
2454347.4111,11.8,MUY
2454348.4333,11.5,MUY
2454351.4007,11.5,MUY
2454355.4083,11.5,MUY
2454356.4181,11.5,MUY
2454360.4,11.8,MUY
2454378.3556,11.5,MUY
2454379.3653,11.5,MUY
2454380.3583,11.6,MUY
2454386.3757,11.6,MUY
2454387.3604,11.5,MUY
2454388.366,11.5,MUY
2454391.3472,11.0,POX
2454391.3653,11.5,MUY
2454394.334,11.6,MUY
2454408.4069,11.6,MUY
2454411.3542,11.6,MUY
2454414.3111,11.6,MUY
2454421.3903,11.6,MUY
2454422.4625,11.6,MUY
2454434.3194,11.7,MUY
2454471.4458,11.5,MUY
2454475.3479,11.5,MUY
2454478.2618,11.5,MUY
2454680.4688,11.6,MUY
2454713.4299,11.6,MUY
2454762.4215,11.7,POX
2454764.3688,11.6,POX
2455093.4757,10.8,POX
2455100.4243,12.2,POX
2455114.6333,11.8,PYG
2455117.6229,11.9,PYG
2455159.412,11.6,PYG
2455169.286,11.5,PYG
2455176.2979,12.2,POX
2455188.399,11.9,PYG
2455198.392,11.8,PYG
2455200.399,11.7,PYG
2455203.363,11.8,PYG
2455214.335,11.7,PYG
2455226.38,11.7,PYG
2455227.3,11.7,PYG
2455234.313,11.7,PYG
2455237.322,11.6,PYG
2455257.349,11.6,PYG
2455416.51093,11.6,BPO
2455485.62,11.6,PYG
2455510.592,11.5,PYG
2455515.535,11.6,PYG
2455539.439,11.6,PYG
2455543.34725,12.3,BPO
2455565.43,11.6,PYG
2455570.321,11.5,PYG
2455571.305,11.6,PYG
2455578.419,11.5,PYG
2455592.371,11.6,PYG
2455594.318,11.5,PYG
2455795.579,11.7,PYG
2455831.59,11.6,PYG
2455833.497,11.7,PYG
2455851.532,11.6,PYG
2455863.508,11.7,PYG
2455867.422,11.6,PYG
2455888.435,11.7,PYG
2455893.2854,11.9,POX
2455893.464,11.6,PYG
2455895.386,11.7,PYG
2455899.435,11.8,PYG
2455905.37,11.7,PYG
2455913.53,11.8,PYG
2455921.32979,11.4,BPO
2455923.32368,11.6,BPO
2455928.509,11.6,PYG
2455939.284,11.7,PYG
2455940.335,11.7,PYG
2455941.311,11.6,PYG
2455942.305,11.7,PYG
2455943.307,11.7,PYG
2455950.333,11.8,PYG
2455955.301,11.6,PYG
2455959.382,11.7,PYG
2455961.326,11.8,PYG
2455976.355,11.7,PYG
2455982.335,11.6,PYG
2455991.328,11.5,PYG
2456156.4652,11.6,BPO
2456179.4243,12.1,BPO
2456189.589,11.7,PYG
2456207.597,11.6,PYG
2456237.479,11.7,PYG
2456249.508,11.8,PYG
2456263.419,11.7,PYG
2456267.415,11.6,PYG
2456272.401,11.7,PYG
2456304.359,11.6,PYG
2456308.379,11.7,PYG
2456317.34,11.2,PUJ
2456330.338,11.8,PYG
2456517.5944,11.9,POX
2456542.4854,11.9,POX
2456589.485,11.7,PYG
2456601.415,11.6,PYG
2456601.435,11.7,PYG
2456630.2944,11.9,POX
2456631.435,11.7,PYG
2456655.358,11.8,PYG
2456662.35,11.7,PYG
2456677.349,11.6,PYG
2456698.336,11.6,PYG
2456942.453,11.9,PYG
2456958.567,11.8,PYG
2456976.41,12.5,PYG
2457007.372,11.9,PYG
2457011.38,11.8,PYG
2457029.285,12.0,PYG
2457039.32,11.8,PYG
2457055.317,11.7,PYG
2457057.304,11.7,PYG
2457060.347,11.6,PYG
2457070.345,11.7,PYG
2457075.329,11.6,PYG
