# JD             Magnitude   Uncertainty   HQuncertainty   Band Observer_Code Comment_Code(s) Comp_Star_1 Comp_Star_2 Charts         Comments                                         Transfomed Airmass   Validation_Flag Cmag   Kmag   HJD   Star_Name Observer_Affiliation Measurement_Method Grouping_Method ADS_Reference   Digitizer   Credit
  2451515.22     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EC 02.72"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451521.31     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "EC 08.81"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451534.28     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EC 21.78"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451549.13     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "AN 05.63"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451568.18     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "AN 24.68"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451783.54     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "UG 27.04"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451785.55     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "UG 29.05"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451789.44     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 01.94"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451790.46     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 02.96"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451794.55     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 07.05"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451797.4      11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 09.90"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
