## (from tabmap V5.95 (2014-10-19)) 2015-07-08T10:36:32
#---------------------------------------------------------------------------
#-- J/AJ/118/1043 Herbig Ae/Be stars catalog (Herbst+, 1999)
#--------------------------------------------------------------------------
#---Table: J/AJ/118/1043/./other/rz_psc.dat Other stars individual light curves  (22 records)
#-------------------------------------------------------------------------------
#     Label Format Unit  Explanations
#-------------------------------------------------------------------------------
#        JD F9.3   d     Julian date (JD-2440000) (1)
#      Vmag F5.2   mag   V magnitude
#       U-B F5.2   mag   ?=99.99 U-B colour index
#       B-V F5.2   mag   ?=99.99 B-V colour index
#       V-R F5.2   mag   ?=99.99 V-R colour index
#       R-I F5.2   mag   ?=99.99 R-I colour index
#       Ref A2     ---   Reference in refs.dat file
#      Note A1     ---   [*] Note on V-R colour index (2)
#-------------------------------------------------------------------------------
#Note (1): JD may be negative (for dates before 2440000)
#Note (2): *: the V-R magnitudes given were made in the Johnson system
#-------------------------------------------------------------------------------
--------------------------------------------
#         |     |     |     |     |     |  |N
#         |     |     |     |     |     |  |o
#         |     |     |     |     |     | R|t
       JD| Vmag|  U-B|  B-V|  V-R|  R-I|ef|e
 8229.163|11.68|99.99| 0.73| 0.59|99.99|86|*
 8230.151|11.69|99.99| 0.74| 0.59|99.99|86|*
 8234.257|11.68|99.99| 0.71| 0.58|99.99|86|*
 8241.239|11.65|99.99| 0.71| 0.56|99.99|86|*
 8255.245|11.61|99.99| 0.73| 0.58|99.99|86|*
 8256.216|11.65|99.99| 0.77| 0.59|99.99|86|*
 8258.218|11.88|99.99| 0.94| 0.70|99.99|86|*
 8259.211|11.78|99.99| 0.82| 0.65|99.99|86|*
 8263.243|11.68| 0.22| 0.80| 0.59|99.99|86|*
 8269.216|11.64| 0.18| 0.70| 0.56|99.99|86|*
 8270.196|11.62| 0.12| 0.72| 0.57|99.99|86|*
 8271.199|11.59|99.99| 0.72| 0.56|99.99|86|*
 8445.464|11.65|99.99| 0.73|99.99|99.99|86|*
 8448.455|11.62|99.99| 0.72| 0.55|99.99|86|*
 8448.460|11.80|99.99| 2.64| 0.70|99.99|86|*
 8449.434|11.64| 0.15| 0.77| 0.56|99.99|86|*
 8449.453|11.62|99.99| 0.73| 0.62|99.99|86|*
 8453.433|11.63| 0.14| 0.73| 0.57|99.99|86|*
 8453.462|11.67|99.99| 0.68|99.99|99.99|86|*
 8456.461|11.68|99.99| 0.69| 0.62|99.99|86|*
 8457.441|11.62| 0.17| 0.77| 0.56|99.99|86|*
 8457.457|11.63| 0.14| 0.75| 0.59|99.99|86|*
 8458.444|11.63| 0.21| 0.79| 0.59|99.99|86|*
 8458.465|11.59|99.99| 0.74| 0.55|99.99|86|*
 8459.406|11.64| 0.09| 0.73| 0.59|99.99|86|*
 8460.407|11.71| 0.15| 0.76| 0.59|99.99|86|*
 8460.461|11.72|99.99| 0.71| 0.59|99.99|86|*
 8461.411|11.75|99.99| 0.75| 0.62|99.99|86|*
 8461.452|11.78|99.99| 0.76| 0.62|99.99|86|*
 8462.466|11.69|99.99| 0.77| 0.60|99.99|86|*
 8463.409|11.87|99.99| 0.78| 0.68|99.99|86|*
 8463.460|11.93|99.99| 0.85| 0.66|99.99|86|*
 8464.322|11.55|99.99| 0.61| 0.54|99.99|86|*
 8464.406|11.70|99.99| 0.71| 0.64|99.99|86|*
 8464.470|11.76|99.99| 0.79| 0.63|99.99|86|*
 8465.405|11.70|99.99| 0.68| 0.64|99.99|86|*
 8465.469|11.70|99.99| 0.72| 0.62|99.99|86|*
 8466.392|11.64|99.99| 0.78| 0.55|99.99|86|*
 8466.477|11.65|99.99| 0.77| 0.57|99.99|86|*
 8467.368|11.61|99.99| 0.74| 0.54|99.99|86|*
 8467.454|11.66| 0.16| 0.74| 0.58|99.99|86|*
 8477.461|11.65| 0.19| 0.72| 0.62|99.99|86|*
 8478.440|11.60| 0.15| 0.74| 0.58|99.99|86|*
 8479.477|11.63| 0.32| 0.74| 0.54|99.99|86|*
 8480.472|11.65| 0.14| 0.74| 0.57|99.99|86|*
 8482.438|11.63| 0.14| 0.73| 0.62|99.99|86|*
 8484.484|11.73|99.99| 0.78| 0.62|99.99|86|*
 8485.425|11.65| 0.20| 0.76| 0.59|99.99|86|*
 8486.438|11.70| 0.19| 0.76| 0.59|99.99|86|*
 8487.449|11.77| 0.16| 0.79| 0.62|99.99|86|*
 8489.408|11.68| 0.16| 0.72| 0.60|99.99|86|*
 8490.428|11.70| 0.16| 0.74| 0.59|99.99|86|*
 8491.387|11.71| 0.15| 0.70| 0.61|99.99|86|*
 8493.343|11.64|99.99| 0.73| 0.58|99.99|86|*
 8494.394|11.69|99.99| 0.76| 0.58|99.99|86|*
 8498.406|11.68|99.99| 0.74| 0.58|99.99|86|*
 8499.387|11.70|99.99| 0.76| 0.62|99.99|86|*
 8503.342|11.69| 0.20| 0.74| 0.65|99.99|86|*
 8503.369|11.68|99.99| 0.74| 0.62|99.99|86|*
 8504.400|11.64|99.99| 0.74| 0.60|99.99|86|*
 8505.430|11.68|99.99| 0.72| 0.58|99.99|86|*
 8506.439|11.66|99.99| 0.72|99.99|99.99|86|*
 8507.423|11.62|99.99| 0.70|99.99|99.99|86|*
 8508.400|11.64|99.99| 0.71| 0.61|99.99|86|*
 8509.429|11.73|99.99| 0.78|99.99|99.99|86|*
 8510.419|11.65|99.99| 0.69| 0.59|99.99|86|*
 8511.426|11.61|99.99| 0.70| 0.55|99.99|86|*
 8512.427|11.62|99.99| 0.70| 0.56|99.99|86|*
 8513.429|11.63|99.99| 0.71|99.99|99.99|86|*
 8514.424|11.62|99.99| 0.71|99.99|99.99|86|*
 8515.421|11.60|99.99| 0.73| 0.57|99.99|86|*
 8516.423|11.70| 0.16| 0.72| 0.58|99.99|86|*
 8517.418|11.64|99.99| 0.72| 0.61|99.99|86|*
 8518.427|11.83|99.99| 0.72|99.99|99.99|86|*
 8520.409|11.93|99.99| 0.85| 0.69|99.99|86|*
 8520.448|11.96|99.99| 0.84| 0.72|99.99|86|*
 8520.497|11.96| 0.37| 0.89| 0.73|99.99|86|*
 8521.317|11.92|99.99| 0.78| 0.70|99.99|86|*
 8521.382|11.81|99.99| 0.81| 0.64|99.99|86|*
 8522.326|11.64|99.99| 0.73| 0.55|99.99|86|*
 8523.350|11.59|99.99| 0.74| 0.59|99.99|86|*
 8533.370|11.65| 0.15| 0.72| 0.58|99.99|86|*
 8537.332|11.60| 0.14| 0.72| 0.57|99.99|86|*
 8541.413|11.70| 0.16| 0.79| 0.58|99.99|86|*
 8542.277|12.06| 0.25| 0.80| 0.67|99.99|86|*
 8542.313|12.03| 0.19| 0.80| 0.66|99.99|86|*
 8542.354|12.01| 0.24| 0.80| 0.67|99.99|86|*
 8542.390|12.01| 0.24| 0.77| 0.69|99.99|86|*
 8542.430|11.96| 0.20| 0.80| 0.64|99.99|86|*
 8542.469|11.94| 0.22| 0.78| 0.65|99.99|86|*
 8543.200|11.77|99.99| 0.75| 0.62|99.99|86|*
 8544.375|11.87|99.99| 0.78| 0.62|99.99|86|*
 8546.403|11.80|99.99| 0.76| 0.63|99.99|86|*
 8548.327|11.38| 0.37| 1.00| 0.66|99.99|86|*
 8549.306|11.72| 0.23| 0.71| 0.61|99.99|86|*
 8555.355|11.70| 0.27| 0.76| 0.61|99.99|86|*
 8556.311|11.77|99.99| 0.81| 0.61|99.99|86|*
