\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_30387_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:14:20 2006"               
\STOP_DATE = "Mon Nov 24, 09:41:52 2008"               
\fixlen = T
\NUMRECORDS = 636      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 14:56:02 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454748.980516 15.77255 0.02526 
 2454748.992932 15.80871 0.02527 
 2454749.002895 15.81285 0.02559 
 2454749.012854 15.82112 0.02605 
 2454749.022806 15.80344 0.03898 
 2454749.870528 15.75726 0.02783 
 2454749.882951 15.81192 0.02369 
 2454749.895370 15.79436 0.02431 
 2454749.907784 15.81345 0.02310 
 2454749.917770 15.79173 0.02572 
 2454749.927769 15.80104 0.02575 
 2454749.937759 15.80932 0.02493 
 2454749.947754 15.81686 0.02578 
 2454749.957926 15.78287 0.02572 
 2454749.968101 15.76992 0.02655 
 2454749.978269 15.79134 0.02726 
 2454749.990738 15.76674 0.02550 
 2454750.000733 15.75704 0.02672 
 2454750.010722 15.57251 0.03292 
 2454750.020709 15.76837 0.03925 
 2454758.841748 15.87207 0.03568 
 2454758.848917 15.87757 0.03208 
 2454758.856085 15.90368 0.03201 
 2454758.863251 15.85031 0.03389 
 2454759.837570 15.84934 0.02896 
 2454759.844640 15.81846 0.02623 
 2454759.851697 15.80197 0.02675 
 2454759.858755 15.87063 0.02678 
 2454759.865812 15.82267 0.02704 
 2454759.872870 15.85458 0.02689 
 2454759.879928 15.84901 0.02693 
 2454759.886987 15.90750 0.02740 
 2454759.891698 15.87941 0.02917 
 2454759.896427 15.86548 0.02947 
 2454759.901144 15.87010 0.03091 
 2454759.905866 15.80127 0.03117 
 2454759.910582 15.81600 0.03175 
 2454759.915289 15.80539 0.03256 
 2454759.920015 15.88649 0.03123 
 2454759.922216 15.81806 0.02800 
 2454759.924410 15.86190 0.02944 
 2454759.926617 15.81574 0.03036 
 2454759.928806 15.88769 0.03066 
 2454759.931016 15.80822 0.03098 
 2454759.933217 15.88660 0.03100 
 2454759.935408 15.83880 0.03095 
 2454759.937619 15.85976 0.03039 
 2454759.939810 15.85414 0.03010 
 2454759.942020 15.88088 0.02981 
 2454759.944222 15.86882 0.02976 
 2454759.946415 15.86675 0.03000 
 2454759.948625 15.81167 0.03067 
 2454759.950813 15.87902 0.03214 
 2454759.953024 15.86066 0.03325 
 2454759.955228 15.88735 0.03411 
 2454759.957421 15.82336 0.03400 
 2454759.959627 15.90051 0.03389 
 2454759.961819 15.87997 0.03364 
 2454759.964031 15.87656 0.03346 
 2454759.966233 15.87072 0.03290 
 2454759.968426 15.85249 0.03310 
 2454759.970634 15.83192 0.03319 
 2454759.972826 15.83012 0.03638 
 2454759.975037 15.90378 0.03790 
 2454759.977238 15.85935 0.03790 
 2454759.979435 15.84088 0.03661 
 2454759.981643 15.85534 0.03510 
 2454759.983833 15.84804 0.03270 
 2454759.986043 15.89211 0.03307 
 2454759.988244 15.85366 0.03547 
 2454760.834373 15.83122 0.02585 
 2454760.844535 15.81475 0.02755 
 2454760.854693 15.80968 0.02727 
 2454760.864857 15.79069 0.02838 
 2454760.875022 15.84672 0.02855 
 2454760.885187 15.87544 0.02834 
 2454760.889913 15.86145 0.03006 
 2454760.894632 15.79643 0.02862 
 2454760.899345 15.82573 0.02902 
 2454760.904076 15.81755 0.03071 
 2454760.908801 15.85712 0.03021 
 2454760.913522 15.89561 0.02969 
 2454760.918240 15.84237 0.03010 
 2454760.922963 15.84906 0.02899 
 2454760.927688 15.86244 0.02703 
 2454760.932414 15.87527 0.02737 
 2454760.937135 15.82817 0.02858 
 2454760.941856 15.88708 0.02960 
 2454760.946573 15.90482 0.03027 
 2454760.951290 15.86596 0.03025 
 2454760.956006 15.86433 0.03133 
 2454777.793654 15.84260 0.02954 
 2454777.805578 15.89651 0.02685 
 2454777.817509 15.93038 0.02550 
 2454777.829442 15.88542 0.02511 
 2454777.841425 15.89750 0.02539 
 2454777.851036 15.94021 0.02467 
 2454777.860649 15.93634 0.02632 
 2454777.870249 15.86984 0.02656 
 2454777.880027 15.90067 0.02603 
