\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_34612_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:52:02 2006"               
\STOP_DATE = "Mon Nov 24, 04:52:01 2008"               
\fixlen = T
\NUMRECORDS = 1680     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 16:37:19 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454077.625784 15.74538 0.02507 
 2454077.630301 15.77514 0.02536 
 2454077.634814 15.72189 0.02658 
 2454077.639328 15.75754 0.02743 
 2454077.643841 15.72118 0.02871 
 2454077.648355 15.77652 0.03005 
 2454077.652868 15.67833 0.03058 
 2454077.657390 15.75702 0.03150 
 2454077.661909 15.74035 0.03205 
 2454077.666431 15.73380 0.03168 
 2454078.584090 15.77461 0.02383 
 2454078.588613 15.74005 0.02356 
 2454078.593131 15.76669 0.02341 
 2454078.597643 15.78504 0.02314 
 2454078.603005 15.84383 0.02916 
 2454078.608366 15.76569 0.02334 
 2454078.613725 15.73231 0.02328 
 2454078.619093 15.75517 0.02311 
 2454078.621201 15.72413 0.02305 
 2454078.625723 15.74985 0.02293 
 2454078.630235 15.70195 0.02305 
 2454078.634749 15.74098 0.02284 
 2454078.639263 15.75414 0.02269 
 2454078.643776 15.73439 0.02290 
 2454078.648291 15.74023 0.02296 
 2454078.652804 15.67685 0.02301 
 2454078.657318 15.73371 0.02320 
 2454078.661831 15.76535 0.02327 
 2454078.666344 15.76056 0.02291 
 2454078.670858 15.78205 0.02375 
 2454078.675372 15.78515 0.02466 
 2454079.671843 15.66416 0.02157 
 2454080.583941 15.71219 0.02315 
 2454080.588455 15.69878 0.02318 
 2454080.592970 15.70786 0.02267 
 2454080.598332 15.65887 0.03905 
 2454080.603698 15.68132 0.02313 
 2454080.609060 15.70964 0.02285 
 2454080.614420 15.75063 0.02221 
 2454080.616528 15.73225 0.02229 
 2454080.621045 15.68699 0.02244 
 2454080.625558 15.71626 0.02226 
 2454080.630073 15.67289 0.02267 
 2454080.634587 15.69294 0.02226 
 2454080.639101 15.70275 0.02290 
 2454080.643626 15.70192 0.02292 
 2454080.648141 15.69848 0.02332 
 2454080.652663 15.72665 0.02280 
 2454080.657177 15.73761 0.02220 
