col1,col2,col3
2456217.672365,15.73866,0.03315
2456217.755714,15.76472,0.03758
2456217.778269,15.75132,0.03574
2456217.800939,15.7508,0.03698
2456217.90415,15.773673268261529,0.03526
2456217.929202,15.720680665184148,0.0417
2456217.954256,15.727170983998494,0.03519
2456217.976917,15.255817830413632,0.08924
2456218.772735,15.72345,0.03484
2456219.882814,15.755872393855462,0.02983
2456220.674759,15.88486,0.02853
2456220.719591,15.89013,0.02998
2456220.734033,15.84777,0.02849
2456220.75643,15.81874,0.02941
2456220.781378,15.86948,0.02896
2456220.822664,15.872258110899162,0.02966
2456220.845209,15.87649831918465,0.02921
2456220.867678,15.864047707591645,0.03029
2456220.887539,15.875258258270971,0.0299
2456220.904544,15.837446400894942,0.02921
2456220.957341,15.841186584618464,0.0319
2456221.683374,15.76978,0.0325
2456221.720241,15.73572,0.03053
2456221.740145,15.71069,0.03006
2456221.762604,15.70116,0.02909
2456221.785032,15.71726,0.02952
2456221.8265,15.76220270480998,0.02938
2456221.846362,15.741051665838729,0.02805
2456221.868957,15.725840918663657,0.0291
2456221.888883,15.749732092234495,0.02939
2456221.905953,15.729141080772647,0.03085
2456221.933729,15.784373793887646,0.02996
2456222.676193,15.96657,0.03541
2456222.718519,15.98409,0.03359
2456222.738432,16.01286,0.03169
2456222.758257,16.04946,0.03164
2456222.780555,16.09304,0.03147
2456222.821938,16.20266434095645,0.0262
2456222.898793,16.129160730347138,0.02917
2456222.92123,16.054317053911753,0.0295
2456222.946401,15.954602155764071,0.03069
2456223.711654,15.7518,0.03777
2456223.723464,15.76894,0.03687
2456223.740684,15.74846,0.03575
2456223.758037,15.72157,0.03643
2456223.780843,15.75582,0.03616
2456223.836629,15.780303593953224,0.02983
2456223.892593,15.773713270226486,0.03056
2456223.912471,15.763212754425155,0.03129
2456223.937638,15.800224572502035,0.0328
2456224.705859,15.77295,0.04254
2456224.714842,15.67911,0.0459
2456224.738385,15.77418,0.04047
2456224.752967,15.72923,0.04053
2456224.808798,15.762692728880708,0.03833
2456224.826155,15.798324479166556,0.03537
2456224.83807,15.743451783736177,0.03668
2456224.892299,15.723410799292495,0.03193
2456224.912092,15.793174226178284,0.0318
2456225.692005,15.65254,0.05057
2456225.703761,15.70117,0.04799
2456225.712677,15.72134,0.04778
2456225.721559,15.69042,0.04718
2456225.733437,15.66648,0.04713
2456225.745356,15.64263,0.0474
2456225.757242,15.71678,0.04737
2456225.774315,15.69348,0.04664
2456225.814211,15.754852343749048,0.03926
2456225.828891,15.745771897703706,0.04023
2456225.843395,15.739251577415644,0.04383
2456225.860648,15.747511983179356,0.04309
2456225.897517,15.717150491776652,0.038
2456225.914738,15.767452962710644,0.03374
2456234.722323,15.99663,0.04542
2456234.739398,16.01715,0.04507
2456234.756494,16.08435,0.04386
2456234.784781,16.18968370332776,0.03763
2456234.796984,16.27386783858071,0.03833
2456234.805149,16.240506199806198,0.04048
2456234.813293,16.29698897432612,0.04171
2456234.821521,16.281608218799978,0.04133
2456234.854229,16.447826383689417,0.04849
2456234.862394,16.46486722076129,0.04475
2456234.870519,16.560701928308102,0.04705
2456234.878627,16.57181247407503,0.04499
2456234.88392,16.62607513953981,0.04309
2456234.8892,16.635395597374895,0.04451
2456234.894506,16.646836159352727,0.04367
2456235.677484,16.16034,0.03003
2456235.691857,16.08171,0.0333
2456235.711635,16.14327,0.03638
2456235.728749,16.05767,0.03704
2456235.745844,16.06983,0.0366
2456235.788576,16.122250390900742,0.03469
2456235.796653,16.133830959755922,0.03662
